model,dataset,seed,prediction_change_pct,accuracy_gain_pp
xgb,insects_abrupt,0,17.0,6.790834613415264
xgb,insects_gradual,0,1.7341040462427744,1.059360730593606
xgb,insects_gradual,0,52.5,7.1805144173565205
xgb,insects_gradual,0,63.0,-13.7037037037037
xgb,insects_gradual,0,100.0,0.0
xgb,insects_gradual,0,0.0,0.0
xgb,insects_gradual,0,1.5,2.777777777777779
xgb,insects_incremental,0,37.5,16.81210741872506
xgb,insects_incremental,0,31.5,11.025698158051094
xgb,insects_incremental,0,24.0,12.057411674347158
xgb,insects_incremental,0,39.0,18.42933550718639
xgb,insects_incremental,0,24.0,9.997029114676176
rf,elec2,0,1.1976047904191618,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,1.25,-1.2500000000000067
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,5.194805194805195,-5.1948051948051965
rf,elec2,0,1.0,0.0
rf,elec2,0,2.8169014084507045,-2.8169014084507005
rf,elec2,0,1.5,1.5000000000000013
rf,elec2,0,0.5,-0.5000000000000004
rf,elec2,0,1.0,1.0000000000000009
rf,elec2,0,0.5988023952095809,0.5988023952095856
rf,elec2,0,2.5974025974025974,2.5974025974025983
rf,elec2,0,0.5780346820809248,0.578034682080919
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,2.564102564102564,2.564102564102566
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,2.2222222222222223,2.2222222222222254
rf,elec2,0,0.0,0.0
rf,elec2,0,0.78125,0.78125
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,2.027027027027027,2.0270270270270285
rf,elec2,0,1.875,-1.8749999999999933
rf,elec2,0,1.9230769230769231,1.9230769230769273
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,0.5,-0.5000000000000004
rf,elec2,0,0.0,0.0
rf,elec2,0,2.564102564102564,-2.564102564102566
rf,elec2,0,0.5376344086021506,0.5376344086021501
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,4.6875,-1.5625
rf,elec2,0,1.4084507042253522,-1.4084507042253502
rf,elec2,0,0.0,0.0
rf,elec2,0,8.783783783783784,-3.3783783783783883
rf,elec2,0,2.9940119760479043,1.7964071856287345
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,2.2222222222222223,-2.2222222222222254
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,1.1904761904761905,1.1904761904761862
rf,elec2,0,0.5555555555555556,0.5555555555555647
rf,elec2,0,0.0,0.0
rf,elec2,0,0.0,0.0
rf,elec2,0,1.4084507042253522,1.4084507042253502
rf,elec2,0,1.0752688172043012,1.0752688172043001
rf,elec2,0,0.0,0.0
rf,elec2,0,1.25,1.2500000000000067
rf,elec2,0,4.0,4.0000000000000036
rf,elec2,0,3.571428571428571,3.57142857142857
