dataset,model,policy,stream_position_pct,cumulative_cost_pct_of_rebuild_total
covtype,rf,AlwaysRebuild,76.6211111111111,77.32517070873558
covtype,rf,AlwaysRebuild,77.2611111111111,78.17282787850247
covtype,rf,AlwaysRebuild,77.86555555555556,78.97339298328232
covtype,rf,AlwaysRebuild,78.22111111111111,79.44431363315282
covtype,rf,AlwaysRebuild,79.14555555555556,80.6687073228161
covtype,rf,AlwaysRebuild,80.78111111111112,82.1403343536614
covtype,rf,AlwaysRebuild,82.80777777777777,83.61196138450671
covtype,rf,AlwaysRebuild,83.76777777777778,84.88344713915706
covtype,rf,AlwaysRebuild,84.40777777777778,85.73110430892395
covtype,rf,AlwaysRebuild,85.01222222222222,86.5316694137038
covtype,rf,AlwaysRebuild,85.68777777777778,87.42641864845774
covtype,rf,AlwaysRebuild,86.29222222222222,88.22698375323758
covtype,rf,AlwaysRebuild,86.96777777777778,89.12173298799152
covtype,rf,AlwaysRebuild,88.28333333333333,90.59336001883683
covtype,rf,AlwaysRebuild,88.60333333333334,91.01718860372027
covtype,rf,AlwaysRebuild,89.27888888888889,91.91193783847422
covtype,rf,AlwaysRebuild,89.91888888888889,92.7595950082411
covtype,rf,AlwaysRebuild,95.14555555555556,94.23122203908642
covtype,rf,AlwaysRebuild,96.03444444444445,95.40852366376265
covtype,rf,AlwaysRebuild,97.24333333333334,96.88015069460796
covtype,rf,AlwaysRebuild,97.56333333333333,97.3039792794914
covtype,rf,AlwaysRebuild,98.48777777777778,98.5283729691547
covtype,rf,AlwaysRebuild,99.73222222222222,100.0
covtype,rf,AlwaysRebuild,100.0,100.0
covtype,rf,MechanismSelector,0.0,0.0
covtype,rf,MechanismSelector,1.278888888888889,1.5304921120791146
covtype,rf,MechanismSelector,1.5277777777777777,1.8601365669884624
covtype,rf,MechanismSelector,2.4166666666666665,3.084530256651754
covtype,rf,MechanismSelector,4.372222222222222,4.615022368730869
covtype,rf,MechanismSelector,5.794444444444444,4.615022368730869
covtype,rf,MechanismSelector,7.394444444444445,6.145514480809983
covtype,rf,MechanismSelector,8.034444444444444,7.02701907228632
covtype,rf,MechanismSelector,8.994444444444444,8.349349540852366
covtype,rf,MechanismSelector,10.238888888888889,8.349349540852366
covtype,rf,MechanismSelector,10.487777777777778,8.678993995761713
covtype,rf,MechanismSelector,10.87888888888889,9.217683070402638
covtype,rf,MechanismSelector,11.625555555555556,10.246129620908876
covtype,rf,MechanismSelector,14.078888888888889,11.77662173298799
covtype,rf,MechanismSelector,14.967777777777778,13.001015422651284
covtype,rf,MechanismSelector,16.532222222222224,14.531507534730398
covtype,rf,MechanismSelector,17.954444444444444,16.06199964680951
covtype,rf,MechanismSelector,18.63,16.992509418412997
covtype,rf,MechanismSelector,19.51888888888889,18.216903108076288
covtype,rf,MechanismSelector,20.407777777777778,19.441296797739582
covtype,rf,MechanismSelector,22.434444444444445,20.971788909818695
covtype,rf,MechanismSelector,23.67888888888889,22.50228102189781
covtype,rf,MechanismSelector,24.923333333333332,24.032773133976924
covtype,rf,MechanismSelector,25.776666666666667,25.20816164351307
covtype,rf,MechanismSelector,26.70111111111111,26.481486931951967
covtype,rf,MechanismSelector,27.412222222222223,27.4610018836826
covtype,rf,MechanismSelector,30.07888888888889,28.991493995761715
covtype,rf,MechanismSelector,32.638888888888886,28.991493995761715
covtype,rf,MechanismSelector,33.065555555555555,28.991493995761715
covtype,rf,MechanismSelector,33.52777777777778,28.991493995761715
covtype,rf,MechanismSelector,33.95444444444445,29.579188250529786
covtype,rf,MechanismSelector,34.95,30.95045031787144
covtype,rf,MechanismSelector,36.656666666666666,32.48094242995055
